Raw Returns,,,,,,
Month ,Constr,Evo Pay,Evelo,GreenSky,Inspire,
1,1.99%,8.26%,-8.67%,,,26
2,3.09%,8.23%,-7.12%,,,47
3,-9.98%,-5.22%,-0.39%,,,68
4,7.29%,12.35%,0.86%,,,89
5,-7.61%,-4.33%,-11.73%,,,110
6,-19.97%,-1.54%,-13.39%,,,131
7,2.71%,-4.70%,-7.68%,,,152
8,1.60%,10.26%,33.33%,,,173
9,14.36%,4.72%,-32.94%,,,194
10,7.02%,10.17%,9.64%,,,215
11,1.71%,1.25%,-10.31%,,,236
12,-3.77%,-4.45%,-5.00%,,,257
13,21.83%,0.53%,-13.65%,,,278
14,2.91%,-1.83%,13.15%,,,299
15,-1.76%,-6.60%,-26.94%,,,320
16,11.29%,-2.90%,6.58%,,,341
17,9.05%,-3.16%,-14.52%,,,362
18,9.41%,-6.32%,13.58%,,,383
19,8.29%,-2.00%,-37.54%,,,404
20,-12.35%,7.00%,-0.48%,,,425
21,4.91%,-0.94%,11.37%,,,446
22,-1.71%,-41.02%,1.86%,,,467
23,14.11%,5.92%,-9.72%,,,488
24,-3.06%,31.43%,38.38%,,,509
25,21.65%,-1.48%,-16.08%,,,530
26,-17.69%,-0.13%,11.70%,,,551
27,12.52%,23.07%,17.83%,,,572
28,-1.45%,-16.07%,-6.20%,,,593
29,1.13%,0.78%,18.14%,,,614
30,18.38%,4.87%,-22.79%,,,635
31,25.78%,0.42%,11.73%,,,656
32,3.49%,-6.12%,101.72%,,,677
33,-5.02%,5.80%,46.54%,,,698
34,-1.78%,3.16%,-19.52%,,,719
35,2.77%,3.75%,-1.09%,,,740
36,8.77%,0.07%,-21.29%,,,761
